,date,open,high,low,close,volume,sap,dji,ixic,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,BHB,BLB,RSI,SR,MACD,EMA,ema_ratio,ub_ratio,lb_ratio,rsi_ratio,sr_ratio,macd_ratio,sap_ratio,dji_ratio,ixic_ratio
0,20210104,1912.199951,1945.099976,1912.199951,1944.699951,154,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00020570011316872508,-0.016712089689356915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42857142857142855,0.0,0.5495459402457117,,,
1,20210105,1941.699951,1952.699951,1941.300049,1952.699951,113,,,,,,,,,,,,,,,,,,,,,,,,-0.0015426544328637152,0.0,-0.005838020323686745,0.004113745154303241,-0.2662337662337662,1864.9650085,1864.9650085,100.0,100.0,0.6381766381766738,1945.9307202307693,1.0,0.9760284173310966,0.9760284173310966,1.0,1.0,0.5583286871145655,,,
2,20210106,1952.0,1959.900024,1901.5,1906.900024,331,,,,,,,,,,,,,,,,,,,,,,,,-0.0003584529203483631,0.027793801108054315,-0.0028318338308437876,-0.023454666947958572,1.9292035398230087,1864.9650085,1864.9650085,100.0,9.246612638378416,-2.5226555186725363,1939.925997733728,0.9969142156837274,0.9760284173310966,0.9760284173310966,1.0,0.09246612638378415,0.514828522633686,,,
3,20210107,1922.599976,1926.699951,1912.0,1912.300049,122,,,,,,,,,,,,,,,,,,,,,,,,0.008233232892339582,0.007530147796382822,-0.0001569047703349949,0.002831834355255068,-0.6314199395770392,1864.9650085,1864.9650085,100.0,18.493226989084693,-4.539571533085336,1935.675851774693,0.9947300958099576,0.9760284173310966,0.9760284173310966,1.0,0.18493226989084693,0.4870712188550082,,,
4,20210108,1908.0,1908.0,1834.099976,1834.099976,60,,,,1910.1399902,156.0,-0.03980860805497212,-0.6153846153846154,,,,,,,,,,,,,,,,,-0.002248626726882411,0.04029225503899141,0.0,-0.040893202424427684,-0.5081967213114754,1864.9650085,1864.9650085,100.0,0.0,-12.306225840296747,1920.048793963202,0.9866994616003091,0.9760284173310966,0.9760284173310966,1.0,0.0,0.3801845753811562,,,
5,20210111,1826.5,1849.599976,1826.5,1849.599976,20,,,,1891.1199952,129.2,-0.021955253662054867,-0.8452012383900929,,,,,,,,,,,,,,,,,-0.0041437086851583765,0.0,-0.012489174037489266,0.0084510115058199,-0.6666666666666666,1864.9650085,1864.9650085,100.0,17.316320722700894,-17.01450228223962,1909.2105142765554,0.9811297465154056,0.9760284173310966,0.9760284173310966,1.0,0.17316320722700895,0.3153880947448273,,,
6,20210112,1849.0,1859.699951,1839.400024,1842.900024,176,,,,1869.1600098,141.8,-0.014049083899890243,0.24118476727785604,,,,,,,,,,,,,,,,,-0.00032438149209835935,0.009116027338008231,-0.001899180614477001,-0.003622378939736718,7.8,1864.9650085,1864.9650085,100.0,12.293868852677289,-21.04389449991845,1899.0089003878547,0.9758872094699497,0.9760284173310966,0.9760284173310966,1.0,0.12293868852677288,0.2599345889814186,,,
7,20210113,1858.0,1858.599976,1853.599976,1853.599976,189,,,,1858.5000002000002,113.4,-0.0026365478608947426,0.6666666666666666,,,,,,,,,,,,,,,,,0.008193594770933689,0.0026974536387240435,0.0,0.005806040404066943,0.07386363636363637,1864.9650085,1864.9650085,100.0,20.31482093286577,-23.107451838556926,1892.0229120204924,0.9722971595803349,0.9760284173310966,0.9760284173310966,1.0,0.2031482093286577,0.23153539560698153,,,
8,20210114,1836.699951,1850.699951,1836.699951,1850.300049,149,,,,1846.1000002,118.8,0.0022750927899598387,0.2542087542087542,,,,,,,,,,,,,,,,,-0.009117406786155415,0.00021612818970428023,-0.0073502122033397245,-0.001780280018734757,-0.21164021164021163,1864.9650085,1864.9650085,100.0,17.841112982108562,-24.724108296594977,1885.6040100173398,0.968998531352506,0.9760284173310966,0.9760284173310966,1.0,0.17841112982108562,0.20928656417778194,,,
9,20210115,1829.400024,1829.400024,1825.0,1829.300049,31,,,,1845.1400148,113.0,-0.008584695834975436,-0.7256637168141593,1877.6400024999998,134.5,-0.025745059455293463,-0.7695167286245354,,,,,,,,,,,,,-0.011295478812366347,5.465205123387927e-05,-0.002350652645721295,-0.011349510589566007,-0.7919463087248322,1864.9650085,1864.9650085,100.0,3.187582086716266,-27.384176936976928,1876.9418621685181,0.9645471149897517,0.9760284173310966,0.9760284173310966,1.0,0.03187582086716266,0.1726780327388996,,,
10,20210119,1802.0,1842.900024,1802.0,1839.5,13,,,,1843.1200195999998,111.6,-0.001964071553400727,-0.8835125448028673,1867.1200074,120.4,-0.014792839930231083,-0.8920265780730897,,,,,,,,,,,,,-0.014923767708268369,0.0018483413971187989,-0.02038597444957869,0.005575876415449686,-0.5806451612903226,1864.9650085,1864.9650085,100.0,23.74920474996254,-28.342534601812076,1871.1815756810538,0.9615869446056893,0.9760284173310966,0.9760284173310966,1.0,0.2374920474996254,0.1594888743201252,,,
11,20210120,1847.800049,1866.599976,1844.400024,1865.900024,16,,,,1847.7200196,79.6,0.009839155395380631,-0.7989949748743719,1858.4400147000001,110.7,0.0040141243413789425,-0.8554652213188798,,,,,,,,,,,,,0.004512122315846667,0.00037512835146409716,-0.011522589486820221,0.014351739059527063,0.23076923076923078,1864.9650085,1864.9650085,100.0,40.46866009342723,-26.664407956291825,1870.369029268584,0.9611693827654746,0.9760284173310966,0.9760284173310966,1.0,0.40468660093427233,0.18258367387843027,,,
12,20210121,1865.300049,1868.0,1865.300049,1865.300049,6,,,,1850.0600341999998,43.0,0.008237578520845253,-0.8604651162790697,1854.2800172,78.2,0.005943024622915604,-0.9232736572890026,,,,,,,,,,,,,-0.00032154723848167217,0.0014474620324207452,0.0,-0.00032154723848167217,-0.625,1864.9650085,1864.9650085,100.0,40.08868865023094,-25.093629724545053,1869.58918615034,0.9607686269162883,0.9760284173310966,0.9760284173310966,1.0,0.4008868865023094,0.2042011176569325,,,
13,20210122,1854.900024,1855.699951,1852.699951,1855.699951,8,,,,1851.1400146,14.8,0.002463312533917265,-0.4594594594594595,1848.6200074,66.8,0.0038298533888300804,-0.8802395209580838,,,,,,,,,,,,,-0.005575523897924861,0.0,-0.0016166406634776055,-0.005146677611007713,0.3333333333333333,1864.9650085,1864.9650085,100.0,34.008830169652185,-24.342815511928166,1867.4523807425953,0.9596705377677232,0.9760284173310966,0.9760284173310966,1.0,0.3400883016965219,0.2145340110605397,,,
14,20210125,1864.699951,1864.699951,1851.800049,1854.900024,26,,,,1856.2600096,13.8,-0.0007326482243687035,0.8840579710144927,1850.7000122000002,63.4,0.00226941793500457,-0.5899053627760252,,,,,,,,,,,,,0.004849921990432817,0.00528326425855932,-0.0016712356245029009,-0.0004310648386712304,2.25,1864.9650085,1864.9650085,100.0,33.502226700104885,-23.54097159592402,1865.5212489360422,0.9586781428245342,0.9760284173310966,0.9760284173310966,1.0,0.33502226700104887,0.22556918803398027,,,
15,20210126,1855.800049,1855.800049,1850.699951,1850.699951,59,,,,1858.4999997999998,23.0,-0.0041969592686786,1.565217391304348,1850.8100097,67.3,-5.946515278339867e-05,-0.12332838038632983,,,,,,,,,,,,,0.0004852148301012228,0.0027557670800413226,0.0,-0.002264312332555113,1.2692307692307692,1864.9650085,1864.9650085,100.0,30.842269536323847,-22.979521683431585,1863.2410492535741,0.9575063643748895,0.9760284173310966,0.9760284173310966,1.0,0.30842269536323846,0.23329600247057533,,,
